id_loan,monto_asignado,motivo
22b9e2f3-eb9c-42d4-a54f-08535f4e22f8,1488.85,Punto ciego dayslate (bug 9)
37af991f-0b7b-4ef2-8f0d-8fb15ead4359,1290.53,Punto ciego dayslate (bug 9)
d1c9c460-cce6-45b4-b369-1613a1858393,2266.0,Punto ciego dayslate (bug 9)
c73262be-5ec0-49b9-8408-90f4d3858a4c,120.61,Punto ciego dayslate (bug 9)
faf1c42d-b40b-4b8e-9f5b-8053e3562aa5,2530.15,Punto ciego dayslate (bug 9)
65f32227-ea11-4777-9447-e220e1d819e3,7421.05,Punto ciego dayslate (bug 9)
4ef9456e-3006-4a23-8549-cccb08c3e764,1274.6,Punto ciego dayslate (bug 9)
c39a0c45-2775-409e-a226-84ab89dbd938,508.83,Reenganche (excluido por flg_last_loan_in_chain)
d083b12a-c151-4d3b-a806-ca7457add608,844.73,Punto ciego dayslate (bug 9)
25450b66-7b4b-4638-8137-ee64db2e100d,1097.29,Punto ciego dayslate (bug 9)
70b2a164-7427-485c-bcf3-23b7e802b95c,767.82,Punto ciego dayslate (bug 9)
573c48a1-2cb5-42e5-838e-f8dda9a9098e,5919.9,Punto ciego dayslate (bug 9)
7886d990-8fec-4add-92f9-d0c2deb4c60d,1740.91,Reenganche (excluido por flg_last_loan_in_chain)
a498708a-ba81-4f0f-8961-8911e31e734b,2380.79,Punto ciego dayslate (bug 9)
2cad3797-6e9e-421f-b76b-98d7798eaad2,386.5,Punto ciego dayslate (bug 9)
c3285c38-cbf9-41f7-b304-d2182264f4b0,797.41,Punto ciego dayslate (bug 9)
b24f584e-a4fc-4c09-b2e6-740b1b406c24,1819.74,Punto ciego dayslate (bug 9)
7e7606bf-105d-485f-8320-4321817281a4,3006.59,Punto ciego dayslate (bug 9)
0df5ed14-f9d8-459f-b42a-58e76f5f6a12,461.06,Punto ciego dayslate (bug 9)
931a85e2-3d7d-4d73-88ae-3b67c8e7a6cb,685.0,Punto ciego dayslate (bug 9)
c538d055-ae99-4eb3-b61b-b1cf87429d10,5562.31,Punto ciego dayslate (bug 9)
ccf69508-f380-4334-949e-b7e6a9304cdb,1092.96,Punto ciego dayslate (bug 9)
699ec15b-4320-4740-b52c-794a5dca0fba,2556.47,Punto ciego dayslate (bug 9)
098c4edc-f262-466b-9029-4a6181b71047,1130.54,Punto ciego dayslate (bug 9)
fd9eef5e-5832-4040-8aec-4288cf73d950,6396.25,Punto ciego dayslate (bug 9)
62d9a0f1-b960-4ece-ad5b-9fbe9b6cb546,3088.97,Punto ciego dayslate (bug 9)
1a7fc5b1-a065-4a4a-aa44-306264f422d2,2275.6,Punto ciego dayslate (bug 9)
91ef55f8-ed42-4c30-bee5-b44ac12cd17b,1870.7,Punto ciego dayslate (bug 9)
