"id_loan","saldo","motivo"
"f1dc3669-fc38-4c38-9c4f-a1e4dbfd5928","1549.74","Grupo de control"
"39cc15f8-3a59-4d58-b7f6-a618c1459729","1091.46","Sin asignar"
"474e6c30-8c54-4f6d-9bab-3abb101c48aa","4002.07","Grupo de control"
"7926f888-ca95-4e3c-8ebb-72f4c26854ab","334.01","Grupo de control"
"7c6d3253-3b0f-4bd3-a2cb-d7bc82e58c23","804.46","Grupo de control"
"9f5ee068-cb28-4e15-b730-86f528157877","773.9","Grupo de control"
"ea6b5191-dbcd-4db0-b3e3-3dfadf242cbc","1470.91","Grupo de control"
"ed16b0da-4b09-477b-848a-2467c13a7ff9","1833.3","Grupo de control"
"f64db71b-d7a8-4001-bde3-2a790b0a281c","1281.3","Grupo de control"
"ff916b01-0dd6-4fe7-af59-3173c7b4a170","6385.2","Sin asignar"
"e6d1f287-25ed-462b-8338-abcc35b1db62","2325.06","Grupo de control"
"ad744b05-00a4-43ef-bf6e-1d4c2a5159ce","1565.85","Grupo de control"
"6a1b694b-e3cd-4969-88a4-b6f863ae577d","1062.14","Sin asignar"
"807c44f2-31de-4088-a8c0-02eef5a7c4a4","644.83","Grupo de control"
"dfc6b034-289d-407d-b54f-12890f1104ca","1337.97","Grupo de control"
"e37406c1-0d97-4489-8ea2-c142e3386163","740.67","Grupo de control"
"ea707c2c-881a-40c7-a663-67ef9693a049","11331.5","Grupo de control"
"05873bdc-f574-45d7-aea6-cba25024987c","524.21","Escalado, fase fija (sin otro credito del cliente)"
"19188e02-1ff1-4527-a4cf-7ed19e1bf68f","419.47","Grupo de control"
"3799b804-4b9c-4c00-a5d8-eab64ad49e08","1084.6","Escalado, fase fija (sin otro credito del cliente)"
"5ad8b338-5c26-4907-891e-37ce265fa7b5","842.97","Grupo de control"
"9b76ba6a-37c6-4052-886f-bf66916d4c2d","1117.76","Grupo de control"
"a33de6ce-9596-474e-828e-25ec876f9e30","2548.04","Grupo de control"
"cabfd333-ce44-4fa7-8322-0d642588cff0","2186.56","Grupo de control"
"d6efaedc-7c24-4d78-898c-be221665b9b6","2019.47","Grupo de control"
"0283663d-0ebf-4dd8-9fca-3bee0a7c3990","172.17","Sin asignar"
"45efd735-c547-4faf-85e1-a126c493172f","856.64","Grupo de control"
"55b2ea22-bd97-4c67-bd13-62c3f152b01b","1648.66","Grupo de control"
"5762944d-0ec7-4976-9654-86abb8ba2d89","783.74","Grupo de control"
"a923ac60-a407-4ee7-8d39-71c839534adc","98.18","Grupo de control"
"e139e822-9957-480e-892e-07a5e53ddc7d","1101.51","Grupo de control"
"f185e6bd-b3b1-4bb2-97de-cbe2a0f94dce","1290.63","Grupo de control"
"feedc5f2-8ada-4c2b-8978-a6175fe1e818","4482.17","Grupo de control"
"06af2cb7-9655-4d31-964e-3d6a88d3a2aa","2090.0","Sin asignar"
"15e7ca3b-3f9f-4b1d-8e95-54e675165e71","1347.62","Grupo de control"
"329549ee-e8ad-4961-828e-145b0b00b982","3699.14","Sin asignar"
"4f67ce18-446d-48f5-831d-afff2ec63bfc","1231.07","Grupo de control"
"5d408426-4a2d-404c-8ff7-574f986ebdf7","1112.45","Grupo de control"
"80b67c17-ce56-47b0-8152-55e5c7dd3663","1978.62","Grupo de control"
"8ff22185-1992-4b73-a4d6-3a2c7b5f64ad","1286.14","Grupo de control"
"b7290ffc-89df-4877-b87e-30c49fe2a8ba","674.58","Sin asignar"
"bde188ff-7bc0-43b6-ad92-056ea0fba5ba","1622.49","Grupo de control"
"e0787fc7-50ee-419b-b39b-e25bc9650617","545.75","Grupo de control"
"15dfadc2-2e92-4788-9e62-79104a86e5d8","655.91","Grupo de control"
"1f0df686-b4c6-4305-afdf-ba5d9439ed59","338.53","Escalado, fase fija (sin otro credito del cliente)"
"3d383ba3-cf00-49e5-beb6-4d7b7a9ff8ea","8438.02","Grupo de control"
"5311770a-8fba-429e-91d8-260773d854c2","679.63","Grupo de control"
"63ef47a3-cdb8-4bd7-884e-ef8d5f4b1be2","596.35","Sin asignar"
"937720ce-eeb9-47cd-92fc-9713165fd54f","71.6","Sin asignar"
"bb620848-fa33-4952-84c8-bc866f43da27","3410.76","Grupo de control"
"d55f9ed9-1dc8-4a69-a689-6e7625105228","902.77","Grupo de control"
