"id_ihfintech_loan","origen","saldo","fecha_entrada","fecha_salida","dias_hasta_pago"
"8c36957e-0b40-422f-a49c-b564f2cdd2dd","b. nuevos","1214.0","20260823",,
"8d7efa9d-f79c-4b3b-b212-0ab6469b457d","b. nuevos","1426.23","20260823",,
"8da5e22b-70f0-4b8b-abfe-36187004b305","b. nuevos","995.27","20260823",,
"8e639c5f-ec17-45f4-8b69-0b9761e57efb","b. nuevos","253.29","20260823",,
"8fe05807-31d0-4321-b32e-da008d2ddb92","b. nuevos","957.35","20260823",,
"8ffb79eb-fa7c-488f-8f99-26d334f339ec","b. nuevos","1938.99","20260823",,
"901846d1-701b-414c-807c-e6d1477d56d3","b. nuevos","808.96","20260823",,
"912acd50-1174-4d74-81a5-92aa151a876a","b. nuevos","466.51","20260823",,
"91d3c9dd-8a3c-47e7-a8ea-001a71b3f906","b. nuevos","933.92","20260823",,
"925300f4-a739-4d1f-a84c-de9c699929a4","b. nuevos","474.9","20260823",,
"92c0a462-4029-44d9-a769-45f478c6b335","b. nuevos","1505.92","20260823",,
"9831c269-5839-402a-ad8c-9e35624960cc","b. nuevos","270.06","20260823",,
"98bb7e2e-33be-4bbb-b7e3-85c5e4b60261","b. nuevos","988.08","20260823",,
"990c1bc7-97fa-4c8a-a973-6cf2b23cb78c","b. nuevos","163.28","20260823",,
"9b4dfceb-3658-4d00-8e17-c857c0d22f32","b. nuevos","1125.51","20260823",,
"9d32898a-e39d-4e36-a014-a2cc75846ce7","b. nuevos","142.9","20260823",,
"9d942126-bb94-4cde-af6f-3a91499db563","b. nuevos","502.26","20260823",,
"a5469b8c-263e-4981-b9d3-8f7e493dde85","b. nuevos","1450.91","20260823",,
"a62db1ec-5459-42be-9a88-2a53b915ef81","b. nuevos","757.84","20260823",,
"a7923b91-8c2a-4a99-a1d6-3d8bdc93c814","b. nuevos","786.49","20260823",,
"a86de689-790d-4fcd-bd57-7399725af1f9","b. nuevos","497.71","20260823",,
"a8cd172f-5034-4f30-b919-f3b262987718","b. nuevos","223.46","20260823",,
"a93f709e-06f9-4f90-a8c6-5d32737b71c4","b. nuevos","557.18","20260823",,
"aa2daba5-fa23-4d75-a15e-1e58d1f6886b","b. nuevos","2649.16","20260823",,
"ac2092e5-617b-44af-9647-677eaed162c5","b. nuevos","322.46","20260823",,
"ad0229c3-57dc-4658-a3bd-4b2c327f74aa","b. nuevos","118.8","20260823",,
"ad66eeab-aa37-41c2-a1c6-8db5d2dc4511","b. nuevos","1122.3","20260823",,
"add0ad65-3269-4f33-ae26-e05e56f5a497","b. nuevos","397.91","20260823",,
"ae660d19-9f04-4f5a-a86b-36721db63e5e","b. nuevos","2947.93","20260823",,
"aefc1fb9-2cd4-4f30-a04c-8f96d3a7af9b","b. nuevos","1131.83","20260823",,
"af372757-a1c9-499f-a790-a93b82d2b47a","b. nuevos","1244.3","20260823",,
"b12694e9-a4c7-4e08-aa44-41b6f68eec3b","b. nuevos","1698.15","20260823",,
"b24c38ca-333e-47d2-b0ec-d77a2b19bf04","b. nuevos","810.01","20260823",,
"b451ddd1-e306-4fcc-802e-d1f9ba6d8486","b. nuevos","542.56","20260823",,
"b5144e90-0b8f-4db3-98f3-03283f3b296d","b. nuevos","2156.78","20260823",,
"b6bb0eb5-133a-40bc-83c5-8b60c0839bad","b. nuevos","930.67","20260823",,
"b9a70995-97fc-4aa5-a96e-4ce24da9496c","b. nuevos","1635.03","20260823",,
"ba34fb7e-b225-420a-b4bb-9a03c097c57c","b. nuevos","2305.76","20260823",,
"ba3c8a0a-c7da-4c48-92fa-d9ba6137747b","b. nuevos","727.58","20260823",,
"ba886104-1aab-4046-aaab-40c298f97e71","b. nuevos","473.4","20260823",,
"bc7604a9-511a-438a-990d-70a5aad9c894","b. nuevos","1303.58","20260823",,
"c1b925c0-0407-49de-8519-0946a075864d","b. nuevos","1131.52","20260823",,
"c3285c38-cbf9-41f7-b304-d2182264f4b0","b. nuevos","545.65","20260823",,
"c3aa2f5c-a0bb-4010-908e-3a2ab663128e","b. nuevos","494.29","20260823",,
"c48cf7b0-6a27-4ff1-88e1-ad6a7ff3647b","b. nuevos","729.06","20260823",,
"c48f9b09-ec5f-4995-a48a-71334e940a6d","b. nuevos","715.18","20260823",,
"c4fbdcf6-c862-426b-a7ab-68aa56ad7ab7","b. nuevos","205.92","20260823",,
"c6355236-24c8-436e-8e66-b47261b8ecfd","b. nuevos","172.11","20260823",,
"c7754723-de39-469f-82d2-08edf85ceeb7","b. nuevos","380.21","20260823",,
"ca463434-afdd-49fd-8a58-a9398ef71cdc","b. nuevos","2457.6","20260823",,
"cbc3741d-f929-4707-bafe-d52bccf57d6a","b. nuevos","788.63","20260823",,
"ceec5a82-a20f-410a-9a23-51ef2b7e916c","b. nuevos","1745.49","20260823",,
"cf69897d-b586-4146-8321-c4bcc545bf38","b. nuevos","1448.74","20260823",,
"d035318c-4fc9-446b-8e15-4c6177f6595e","b. nuevos","1130.72","20260823",,
"d0f02795-8ce4-40aa-848a-5e9ebdba06ed","b. nuevos","1226.16","20260823",,
"d1851eec-f7a7-4b23-9243-dedd1f30e5a6","b. nuevos","519.51","20260823",,
"d1afb71c-677d-4871-aa98-6f63f21eae8f","b. nuevos","376.23","20260823",,
